sup	frequent itemsets
69	1U	
66	2D	
50	3U	
50	3D	
50	4U	
50	4D	
54	5U	
46	5D	
66	6U	
49	7U	
51	7D	
66	8U	
50	9U	
50	9D	
70	10D	
43	11U	
57	11D	
54	12U	
46	12D	
68	13D	
52	14U	
48	14D	
44	15U	
56	15D	
42	16U	
58	16D	
55	17U	
45	17D	
47	18U	
53	18D	
47	19U	
53	19D	
47	20U	
53	20D	
62	21U	
55	22U	
45	22D	
54	23U	
46	23D	
63	24D	
57	25U	
43	25D	
52	26U	
48	26D	
51	27U	
49	27D	
71	28D	
48	29U	
52	29D	
44	30U	
56	30D	
51	31U	
49	31D	
68	32D	
49	33U	
51	33D	
44	34U	
56	34D	
47	35U	
53	35D	
61	36U	
56	37U	
44	37D	
73	38D	
51	39U	
49	39D	
47	40U	
53	40D	
64	41D	
48	42U	
52	42D	
50	43U	
50	43D	
42	44U	
58	44D	
58	45U	
42	45D	
48	46U	
52	46D	
66	47U	
57	48U	
43	48D	
48	49U	
52	49D	
50	50U	
50	50D	
44	51U	
56	51D	
65	52D	
50	53U	
50	53D	
67	54U	
55	55U	
45	55D	
51	56U	
49	56D	
49	57U	
51	57D	
64	58D	
76	59U	
54	60U	
46	60D	
49	61U	
51	61D	
47	62U	
53	62D	
50	63U	
50	63D	
50	64U	
50	64D	
61	65D	
59	66U	
41	66D	
62	67U	
61	68D	
62	69D	
66	70D	
58	71U	
42	71D	
74	72U	
48	73U	
52	73D	
47	74U	
53	74D	
57	75U	
43	75D	
62	76D	
58	77U	
42	77D	
59	78U	
41	78D	
48	79U	
52	79D	
64	80D	
58	81U	
42	81D	
68	82D	
50	83U	
50	83D	
54	84U	
46	84D	
49	85U	
51	85D	
46	86U	
54	86D	
67	87U	
71	88D	
59	89U	
41	89D	
52	90U	
48	90D	
65	91U	
47	92U	
53	92D	
53	93U	
47	93D	
62	94U	
40	95U	
60	95D	
71	96D	
61	97D	
51	98U	
49	98D	
56	99U	
44	99D	
47	100U	
53	100D	
46	1U	2D	
49	1U	6U	
43	1U	8U	
50	1U	10D	
44	1U	13D	
42	1U	15D	
44	1U	21U	
40	1U	22U	
40	1U	23U	
46	1U	24D	
48	1U	28D	
48	1U	32D	
43	1U	36U	
41	1U	37U	
54	1U	38D	
47	1U	41D	
49	1U	47U	
46	1U	52D	
50	1U	54U	
41	1U	55U	
45	1U	58D	
53	1U	59U	
40	1U	60U	
48	1U	65D	
40	1U	66U	
50	1U	67U	
44	1U	69D	
50	1U	70D	
52	1U	72U	
43	1U	76D	
40	1U	78U	
47	1U	80D	
44	1U	81U	
46	1U	82D	
43	1U	84U	
45	1U	87U	
48	1U	88D	
43	1U	89U	
45	1U	91U	
46	1U	94U	
41	1U	95D	
47	1U	96D	
45	2D	6U	
41	2D	8U	
